address;latitude;longitude;name;number;cluster
Rogers St / Montague Rd;-27.485078;153.002382;108 - ROGERS ST / MONTAGUE RD;108;3
Donkin St / Montague Rd;-27.476474;153.008182;111 - DONKIN ST / MONTAGUE RD;111;3
Ann St / Boundary St;-27.461984;153.031782;46 - ANN ST / BOUNDARY ST;46;0
Margaret St / Albert St;-27.472598;153.028383;17 - MARGARET ST / ALBERT ST;17;0
Drury St / Montague Rd;-27.48872;152.999585;107 - DRURY ST / MONTAGUE RD;107;3
Creek St / Elizabeth St;-27.467556;153.029202;3 - CREEK ST / ELIZABETH ST;3;0
Holman St / Main St;-27.465733;153.034329;89 - HOLMAN ST / MAIN ST;89;0
Roma St / Herschel St;-27.466753;153.020012;33 - ROMA ST / HERSCHEL ST;33;0
Upper Roma St / Eagle Tce;-27.466032;153.01476;37 - UPPER ROMA ST / EAGLE TCE;37;0
Boundary St / Vulture St;-27.482562;153.011831;120 - BOUNDARY ST / VULTURE ST;120;3
Sydney St / Brunswick St;-27.468407;153.048273;83 - SYDNEY ST / BRUNSWICK ST;83;1
Gardens Point Rd / SE of Goodwill Bridge;-27.478846;153.028296;20 - GARDENS POINT RD / SE OF GOODWILL BRIDGE;20;0
New Farm Ferry Terminal / New Farm Park;-27.471481;153.051966;84 - NEW FARM FERRY TERMINAL / NEW FARM PARK;84;1
Lower River Tce / Parklands;-27.478032;153.034186;129 - LOWER RIVER TCE / PARKLANDS;129;0
Jane St / Boundary St;-27.479149;153.012132;126 - JANE ST / BOUNDARY ST;126;3
Dornoch Tce / Hardgrave Rd;-27.487155;153.007281;105 - DORNOCH TCE / HARDGRAVE RD;105;3
Besant St / Vulture St;-27.480885;153.014585;102 - BESANT ST / VULTURE ST;102;3
Margaret St / Edward St;-27.47148;153.029647;7 - MARGARET STREET / EDWARD STREET;7;0
Glenelg St / Merivale St;-27.478653;153.019123;94 - GLENELG ST / MERIVALE ST;94;0
Orleigh St / Hoogley St;-27.489807;153.002405;106 - ORLEIGH ST / HOOGLEY ST;106;3
Melbourne St /  Edmondstone St;-27.47666;153.013287;100 - MELBOURNE ST / EDMONDSTONE ST;100;3
Wickham St / Murri Way;-27.451793;153.039562;61 - WICKHAM ST / MURRI WAY;61;1
Brunswick St / Alfred St;-27.45663;153.032779;51 - BRUNSWICK ST / ALFRED ST;51;1
Commercial Rd / Skyring Tce;-27.45296;153.048107;66 - COMMERCIAL RD / SKYRING TCE;66;1
Jephson St / Sherwood Rd;-27.485075;152.990627;144 - JEPHSON ST / SHERWOOD RD;144;3
Sandford St / Austral St;-27.492489;152.996768;148 - SANDFORD ST / AUSTRAL ST;148;3
Brisbane St / Glen Rd;-27.487187;152.993052;146 - BRISBANE ST / GLEN RD;146;3
Wharf St / Adelaide St;-27.464647;153.029361;42 - WHARF STREET / ADELAIDE STREET;42;0
Edward St / Queen St;-27.468206;153.026744;10 - EDWARD STREET / QUEEN STREET;10;0
Gardens Point Rd / Adj. Bridge;-27.479004;153.028853;19 - GARDENS POINT ROAD / ADJ. BRIDGE;19;0
Alice St / Edward St;-27.472291;153.030639;6 - ALICE STREET / EDWARD STREET;6;0
Sylvan Rd / Coronation Dr;-27.482081;152.995804;142 - SYLVAN RD / CORONATION DR;142;3
Russell St / Edmondstone St;-27.478235;153.015173;101 - RUSSELL ST / EDMONDSTONE ST;101;3
Shafston Ave / Thorn St;-27.476792;153.039186;131 - SHAFSTON AVE / THORN ST;131;0
Cordelia St / Peel St;-27.474011;153.014541;99 - CORDELIA ST / PEEL ST;99;3
East St / Ann St;-27.455472;153.037775;58 - EAST ST / ANN ST;58;1
Bridge St / Wickham St;-27.454746;153.036154;57 - BRIDGE ST / WICKHAM ST;57;1
Tank St / George St;-27.468678;153.019801;32 - TANK ST / GEORGE ST;32;0
Sydney St / Moray St;-27.471422;153.04519;86 - SYDNEY ST / MORAY ST;86;1
Ann St / Wharf St;-27.46383;153.029125;41 - ANN ST / WHARF ST;41;0
Griffith St / Riverview Ct;-27.471886;153.041854;81 - GRIFFITH ST / RIVERVIEW CT;81;1
Hardgrave Rd / Skinner St;-27.482082;153.006981;104 - HARDGRAVE RD / SKINNER ST;104;3
Makerston St / Roma St;-27.467037;153.018471;34 - MAKERSTON ST / ROMA ST;34;0
Bouquet St / Montague Rd;-27.471712;153.013188;128 - BOUQUET ST / MONTAGUE RD;128;3
Albert St Mall / Adelaide St;-27.469183;153.024719;13 - ALBERT STREET MALL / ADELAIDE STREET;13;0
Roma St / Garrick St;-27.466307;153.017351;36 - ROMA STREET / GARRICK STREET;36;0
Kilroe St / Dorsey St;-27.472413;153.001803;137 - KILROE ST / DORSEY ST;137;3
Balfour St / Brunswick St;-27.463431;153.041031;79 - BALFOUR ST / BRUNSWICK ST;79;1
38 - Ann St / Creek St;-27.46588;153.026861;38 - ANN ST / CREEK ST;38;0
Albert St Mall / Elizabeth St;-27.47011;153.025627;14 - ALBERT STREET MALL / ELIZABETH STREET;14;0
Turbot St / Bowen St;-27.462665;153.029087;45 - TURBOT ST / BOWEN ST;45;0
Edward St / Queen St;-27.46812;153.02682;1 - EDWARD ST / QUEEN ST;1;0
Cordelia St / Ernest St;-27.481137;153.019284;116 - CORDELIA ST / ERNEST ST;116;0
